title,Final song title,version
3 Chains Of Gold 1 @95,,1
80's Prom Night - v10 clean verse 14,Prom Night,10
80's Prom Night - v11 - vpiano whimsy,Prom Night,11
80's Prom Night - v5,Prom Night,5
80's Prom Night - v7 jake verse,Prom Night,7
80's Prom Night - v8 - v7th chords,Prom Night,8
80's Prom Night - v9 - v50s piano,Prom Night,9
80's Prom Night 12,Prom Night,12
A Boat on the Sea - v4,A Boat on the Sea,4
A Few Screws Lucy 1 @116 +1 BD Sitek,The End of the Game,1
A Few Screws Lucy 2 fire bridge @111 +1 BD Sitek,The End of the Game,2
A Little Help Here 2 @112,,2
About Last Night 1 @62,,1
About Last Night 2 Dusty Break AJ @63,,2
Adventure 2@120,High Hopes,2
Ain't Got Nobody - v18,Ain't Got Nobody,18
Ain't Got Nobody - v19,Ain't Got Nobody,19
Ain't Got Nobody - v20,Ain't Got Nobody,20
Ain't Got Nobody - v21,Ain't Got Nobody,21
Ain't Got Nobody - v22,Ain't Got Nobody,22
Ain't Got Nobody - v23,Ain't Got Nobody,23
Ain't Got Nobody - v24,Ain't Got Nobody,24
Ain't Got Nobody - v3,Ain't Got Nobody,3
Ain't Got Nobody - v5,Ain't Got Nobody,5
Ain't Got Nobody - v6,Ain't Got Nobody,6
Ain't Got Nobody - v7,Ain't Got Nobody,7
Ain't Got Nobody - v8,Ain't Got Nobody,8
All About You 1 Looks Like it's Gonna Rain @118,,1
All About You 2 Looks Like it's Gonna Rain AG @120,,2
Alligator 1 Cricket AG @80,,1
Alligator 1 Nirvana AG @91,,1
Alligator 2 AH @81,,2
Alligator 3 @82,,3
Alligator 4 first pre @82,,4
Alligator 5 short verse @80,,5
Alligator 5 short verses @82,,5
Almost Beautiful 1 AO @ 109 -1,,1
Almost Beautiful 10 ab @126 +0,,10
Almost Beautiful 10 ab @126 +0 HOOK,,10
Almost Beautiful 12 aaba @126 +0,,12
Almost Beautiful 13 IH hook @140 +1,,13
Almost Beautiful 14 melo hook @126 +1,,14
Almost Beautiful 15 lyric hook @138 +1,,15
Almost Beautiful 17 @138 +1,,17
Almost Beautiful 18 allegemo verse @138 +2,,18
Almost Beautiful 19 bass and dbl chorus @130 +2,,19
Almost Beautiful 2 AO @ 109 -1,,2
Almost Beautiful 2 Happy Now @125,,2
Almost Beautiful 20 pre @130 +2,,20
Almost Beautiful 21 pre lyrics @132 +2,,21
Almost Beautiful 22 short pre @134 +2,,22
Almost Beautiful 23 cha cha @137 +2,,23
Almost Beautiful 3 Happy Now @125,,3
Almost Beautiful 4 verse melo @ 109,,4
Almost Beautiful 5 verse melo @109 +0,,5
Almost Beautiful 7 penny arcade @110 +2,,7
Almost Beautiful 8 bjorn @125 +2,,8
Almost Beautiful 9 glasto @125,,9
"Angela, 28 1 bongoloop AJ @85",Any Friend of Diane's,1
"Angela, 28 2 bongoloop AJ @82",Any Friend of Diane's,2
"Angela, 28 3 bongoloop AJ @82",Any Friend of Diane's,3
Anonymous - v11,Anonymous,11
Anonymous - v12,Anonymous,12
Anonymous - v13,Anonymous,13
Anonymous - v14,Anonymous,14
Anonymous - v14 2,Anonymous,14
Anonymous - v15,Anonymous,15
Anonymous - v16,Anonymous,16
Anonymous - v18,Anonymous,18
Anonymous - v19,Anonymous,19
Anonymous - v2,Anonymous,2
Anonymous - v20,Anonymous,20
Anonymous - v21,Anonymous,21
Anonymous - v22,Anonymous,22
Anonymous - v23,Anonymous,23
Anonymous - v24,Anonymous,24
Anonymous - v25,Anonymous,25
Anonymous - v26,Anonymous,26
Anonymous - v27,Anonymous,27
Anonymous - v28,Anonymous,28
Anonymous - v30,Anonymous,30
Anonymous - v6,Anonymous,6
Anonymous - v7,Anonymous,7
Anonymous - v8,Anonymous,8
Any Friend Of Diane's 1 bong AJ @92,Any Friend of Diane's,1
Any Friend of Diane's 10 verse tweaks @88,Any Friend of Diane's,10
Any Friend of Diane's 12 short verse dirty hands @90,Any Friend of Diane's,12
Any Friend Of Diane's 2 AJ @89,Any Friend of Diane's,2
Any Friend of Diane's 3 angela verse @90,Any Friend of Diane's,3
Any Friend of Diane's 4 angela verse @90,Any Friend of Diane's,4
Any Friend of Diane's 6 three verses @88,Any Friend of Diane's,6
Any Friend of Diane's 7 og melody @88,Any Friend of Diane's,7
Any Friend of Diane's 8 welcome verse @89,Any Friend of Diane's,8
Any Friend of Diane's 9 dominos verse @89,Any Friend of Diane's,9
Apples And Oranges 1 AN @59,,1
as hot as it gets 4 @126,,4
as hot as it gets 5 @128,,5
Attention Deficit Disorder 2,Attention Deficit Disorder,2
Attention Deficit Disorder 3,Attention Deficit Disorder,3
Awaken Early - v2 @118 melody,Summer Elaine and Drunk Dori,2
Awaken Early - v4 @118 90s dance,Summer Elaine and Drunk Dori,4
BA 7,,7
Ballsy 2 2,Mexican Fender,2
Bayou 1 @112 -5 AX 15,,1
Beach Boys 6 acoustic @ 99,Beach Boys,6
Beach Boys 7 post lyric @ 99,Beach Boys,7
Beatle That We Loved The Most 21,Eulogy For A Rock Band,21
Beautiful Lies - v2 @126,Beautiful Lies,2
Beautiful Lies 3 tweaked chorus melody @128,Weekend Woman,3
Beautiful Lies 4 INST @64,Weekend Woman,4
Beautiful Lies 4 no drums @64,Weekend Woman,4
Bedroom Eyes 2 tap tap AI @61.5,Two Broken Hearts,2
Bedroom Eyes 5 8ths @123,Two Broken Hearts,5
Bells In My Head - v2 weezered,Bells In My Head,2
Bender 1 @79,,1
Bender 15 summer memories @79 -1,,15
Bender 16 refined @79 -1,,16
Bender 17 drop @79 -1,,17
Bender 18 verse lyrics @80 -1,,18
Bender 2 @79.mp3,,2
Binoculars 5,Binoculars,5
