title,Final song title,version,titleStripped,automatedFinalTitle,finalTitleComparison,automatedVersion,versionComparison
3 Chains Of Gold 1 @95,,1,3 chains of gold,3 chains of gold,previously missing,3.0,Different
80's Prom Night - v10 clean verse 14,Prom Night,10,80's prom night,80's prom night,Different,80.0,Different
80's Prom Night - v11 - vpiano whimsy,Prom Night,11,80's prom night,80's prom night,Different,80.0,Different
80's Prom Night - v5,Prom Night,5,80's prom night,80's prom night,Different,80.0,Different
80's Prom Night - v7 jake verse,Prom Night,7,80's prom night,80's prom night,Different,80.0,Different
80's Prom Night - v8 - v7th chords,Prom Night,8,80's prom night,80's prom night,Different,80.0,Different
80's Prom Night - v9 - v50s piano,Prom Night,9,80's prom night,80's prom night,Different,80.0,Different
80's Prom Night 12,Prom Night,12,80's prom night,80's prom night,Different,80.0,Different
A Boat on the Sea - v4,A Boat on the Sea,4,a boat on the sea,a boat on the sea,Match,4.0,match
A Few Screws Lucy 1 @116 +1 BD Sitek,The End of the Game,1,a few screws lucy,a few screws lucy,Different,1.0,match
A Few Screws Lucy 2 fire bridge @111 +1 BD Sitek,The End of the Game,2,a few screws lucy,a few screws lucy,Different,2.0,match
A Little Help Here 2 @112,,2,a little help here,a little help here,previously missing,2.0,match
About Last Night 1 @62,,1,about last night,about last night,previously missing,1.0,match
About Last Night 2 Dusty Break AJ @63,,2,about last night,about last night,previously missing,2.0,match
Adventure 2@120,High Hopes,2,adventure,adventure,Different,2.0,match
Ain't Got Nobody - v18,Ain't Got Nobody,18,ain't got nobody,ain't got nobody,Match,18.0,match
Ain't Got Nobody - v19,Ain't Got Nobody,19,ain't got nobody,ain't got nobody,Match,19.0,match
Ain't Got Nobody - v20,Ain't Got Nobody,20,ain't got nobody,ain't got nobody,Match,20.0,match
Ain't Got Nobody - v21,Ain't Got Nobody,21,ain't got nobody,ain't got nobody,Match,21.0,match
Ain't Got Nobody - v22,Ain't Got Nobody,22,ain't got nobody,ain't got nobody,Match,22.0,match
Ain't Got Nobody - v23,Ain't Got Nobody,23,ain't got nobody,ain't got nobody,Match,23.0,match
Ain't Got Nobody - v24,Ain't Got Nobody,24,ain't got nobody,ain't got nobody,Match,24.0,match
Ain't Got Nobody - v3,Ain't Got Nobody,3,ain't got nobody,ain't got nobody,Match,3.0,match
Ain't Got Nobody - v5,Ain't Got Nobody,5,ain't got nobody,ain't got nobody,Match,5.0,match
Ain't Got Nobody - v6,Ain't Got Nobody,6,ain't got nobody,ain't got nobody,Match,6.0,match
Ain't Got Nobody - v7,Ain't Got Nobody,7,ain't got nobody,ain't got nobody,Match,7.0,match
Ain't Got Nobody - v8,Ain't Got Nobody,8,ain't got nobody,ain't got nobody,Match,8.0,match
All About You 1 Looks Like it's Gonna Rain @118,,1,all about you,all about you,previously missing,1.0,match
All About You 2 Looks Like it's Gonna Rain AG @120,,2,all about you,all about you,previously missing,2.0,match
Alligator 1 Cricket AG @80,,1,alligator,alligator,previously missing,1.0,match
Alligator 1 Nirvana AG @91,,1,alligator,alligator,previously missing,1.0,match
Alligator 2 AH @81,,2,alligator,alligator,previously missing,2.0,match
Alligator 3 @82,,3,alligator,alligator,previously missing,3.0,match
Alligator 4 first pre @82,,4,alligator,alligator,previously missing,4.0,match
Alligator 5 short verse @80,,5,alligator,alligator,previously missing,5.0,match
Alligator 5 short verses @82,,5,alligator,alligator,previously missing,5.0,match
Almost Beautiful 1 AO @ 109 -1,,1,almost beautiful,almost beautiful,previously missing,1.0,match
Almost Beautiful 10 ab @126 +0,,10,almost beautiful,almost beautiful,previously missing,10.0,match
Almost Beautiful 10 ab @126 +0 HOOK,,10,almost beautiful,almost beautiful,previously missing,10.0,match
Almost Beautiful 12 aaba @126 +0,,12,almost beautiful,almost beautiful,previously missing,12.0,match
Almost Beautiful 13 IH hook @140 +1,,13,almost beautiful,almost beautiful,previously missing,13.0,match
Almost Beautiful 14 melo hook @126 +1,,14,almost beautiful,almost beautiful,previously missing,14.0,match
Almost Beautiful 15 lyric hook @138 +1,,15,almost beautiful,almost beautiful,previously missing,15.0,match
Almost Beautiful 17 @138 +1,,17,almost beautiful,almost beautiful,previously missing,17.0,match
Almost Beautiful 18 allegemo verse @138 +2,,18,almost beautiful,almost beautiful,previously missing,18.0,match
Almost Beautiful 19 bass and dbl chorus @130 +2,,19,almost beautiful,almost beautiful,previously missing,19.0,match
Almost Beautiful 2 AO @ 109 -1,,2,almost beautiful,almost beautiful,previously missing,2.0,match
Almost Beautiful 2 Happy Now @125,,2,almost beautiful,almost beautiful,previously missing,2.0,match
Almost Beautiful 20 pre @130 +2,,20,almost beautiful,almost beautiful,previously missing,20.0,match
Almost Beautiful 21 pre lyrics @132 +2,,21,almost beautiful,almost beautiful,previously missing,21.0,match
Almost Beautiful 22 short pre @134 +2,,22,almost beautiful,almost beautiful,previously missing,22.0,match
Almost Beautiful 23 cha cha @137 +2,,23,almost beautiful,almost beautiful,previously missing,23.0,match
Almost Beautiful 3 Happy Now @125,,3,almost beautiful,almost beautiful,previously missing,3.0,match
Almost Beautiful 4 verse melo @ 109,,4,almost beautiful,almost beautiful,previously missing,4.0,match
Almost Beautiful 5 verse melo @109 +0,,5,almost beautiful,almost beautiful,previously missing,5.0,match
